Weight Range of Noise within 1σ,Iso-Size,G1 Edge Sums, G2 Edge Sums, Abs Diff
0.0,20 nodes,18747.721836829194,17895.992466288302,1340.0090830392778
0.75,20 nodes,16992.03909995749,18085.647572077472,1093.6084721199863
1.5,20 nodes,16643.110450751137,16417.611422758942,1325.7142569363828
2.25,20 nodes,13712.173926804455,13219.70625310468,1175.7889321207826
3.0,20 nodes,13367.774204892346,13744.999906295878,470.2172802851243
3.75,20 nodes,17196.52368994704,16478.850571235285,981.9008019147336
4.5,20 nodes,16163.836203994617,18013.790380150975,2144.056272274536
5.25,20 nodes,24828.374992921912,25306.83827362868,2167.5212327073436
6.0,20 nodes,5606.838183107766,5735.776749403803,544.4260388161302
0.0,24 nodes,24307.51077257037,23833.202941047934,1000.2068148729137
0.75,24 nodes,25025.865940247582,23755.709212608195,1270.1567276393864
1.5,24 nodes,23481.145847930853,23205.40590373821,1584.6197138856187
2.25,24 nodes,19604.47177268028,19268.893557445776,1029.5198301882797
3.0,24 nodes,16648.553420259515,17692.957440432354,1044.4040201728405
3.75,24 nodes,13716.131256979967,13421.579511279564,744.5543139603678
4.5,24 nodes,10603.027890905129,10531.076837248844,1804.0567385770037
5.25,24 nodes,15090.594341420963,14998.215958679408,409.8993795728653
6.0,24 nodes,34266.00741229687,35528.07160439405,1294.350354508968
0.0,28 nodes,30788.972005353273,30616.03712105375,424.7806281596051
0.75,28 nodes,29537.726502214682,30754.19018647345,1216.4636842587702
1.5,28 nodes,30718.29697015381,30760.409709323347,731.6705010013226
2.25,28 nodes,24520.310886128922,23403.96596545006,1669.1638263580637
3.0,28 nodes,20224.132991515024,20697.04146206469,2077.32055543121
3.75,28 nodes,22529.547215843402,22194.395470683696,1383.8196205901204
4.5,28 nodes,12035.804836197272,11382.656966442417,676.0731556825262
5.25,28 nodes,25761.18511684418,25642.942851761505,2182.2007978480237
6.0,28 nodes,29453.215856272374,29665.534003867768,1354.803794255828
0.0,32 nodes,37542.10826677058,37891.2672999172,769.713139869002
0.75,32 nodes,37967.8713477252,38699.06447856964,1036.3221572708208
1.5,32 nodes,36398.60532046885,37549.60396933033,1314.4293016810218
2.25,32 nodes,31830.92738071331,31094.36068657956,736.5666941337491
3.0,32 nodes,28345.284622274317,28214.34252868973,1328.7148994592055
3.75,32 nodes,16993.310685277458,16896.564674176054,802.7900994996049
4.5,32 nodes,44532.80349061602,44506.78150685321,1455.7274046022471
5.25,32 nodes,45264.93321417772,43632.36757245115,2739.8814451572307
6.0,32 nodes,52992.93679393577,52140.272715852894,1924.9109100692767
