Weight Range of Noise within 1σ,Iso-Size,Precision value
0.0,20 nodes,1.0
0.75,20 nodes,0.72
1.5,20 nodes,0.72
2.25,20 nodes,0.6799999999999999
3.0,20 nodes,0.64
3.75,20 nodes,0.68
4.5,20 nodes,0.775
5.25,20 nodes,0.8079745989304813
6.0,20 nodes,0.86125
0.0,24 nodes,1.0
0.75,24 nodes,0.924
1.5,24 nodes,1.0
2.25,24 nodes,0.886
3.0,24 nodes,0.924
3.75,24 nodes,0.8785
4.5,24 nodes,0.9215
5.25,24 nodes,0.9460491452991453
6.0,24 nodes,0.8832222222222222
0.0,28 nodes,1.0
0.75,28 nodes,0.964
1.5,28 nodes,0.892
2.25,28 nodes,1.0
3.0,28 nodes,0.928
3.75,28 nodes,0.9946969696969697
4.5,28 nodes,0.9962301587301587
5.25,28 nodes,0.9988636363636364
6.0,28 nodes,0.9963207651481645
0.0,32 nodes,1.0
0.75,32 nodes,1.0
1.5,32 nodes,1.0
2.25,32 nodes,1.0
3.0,32 nodes,1.0
3.75,32 nodes,0.9912527472527473
4.5,32 nodes,0.99375
5.25,32 nodes,0.9954044117647058
6.0,32 nodes,0.9936731601731602
