Weight Range of Noise within 1σ,Iso-Size,F1 value
0.0,20 nodes,0.8923977016856274
0.75,20 nodes,0.4463024013024013
1.5,20 nodes,0.4833132255212344
2.25,20 nodes,0.44046555594942693
3.0,20 nodes,0.45631089217296117
3.75,20 nodes,0.4522995522995523
4.5,20 nodes,0.4620994554615244
5.25,20 nodes,0.46186860904102284
6.0,20 nodes,NaN
0.0,24 nodes,0.9377194229015325
0.75,24 nodes,0.524404081199213
1.5,24 nodes,0.44600162645703445
2.25,24 nodes,0.48112179364616714
3.0,24 nodes,0.44171895255379834
3.75,24 nodes,0.48580364771207196
4.5,24 nodes,0.4873729158079503
5.25,24 nodes,0.49337998312038095
6.0,24 nodes,0.5231693620617842
0.0,28 nodes,0.9374253033127713
0.75,28 nodes,0.5117482284298716
1.5,28 nodes,0.4790030695139054
2.25,28 nodes,0.47100633929788954
3.0,28 nodes,0.4864373556340221
3.75,28 nodes,0.5280724489857617
4.5,28 nodes,0.4990999420692466
5.25,28 nodes,0.5665262715688849
6.0,28 nodes,0.5420993201701878
0.0,32 nodes,0.9616901107187527
0.75,32 nodes,0.5199164153757199
1.5,32 nodes,0.4889702966581493
2.25,32 nodes,0.5331370395646521
3.0,32 nodes,0.5248776421874625
3.75,32 nodes,0.5653136860377589
4.5,32 nodes,0.5362939084745322
5.25,32 nodes,0.6096406410165403
6.0,32 nodes,0.5053573166382085
