Weight Range of Noise within 1σ,Iso-Size,Relative Frobenius value
0.0,20 nodes,0.0
0.75,20 nodes,0.3258513469474847
1.5,20 nodes,0.6155879304345877
2.25,20 nodes,0.5236943816764401
3.0,20 nodes,0.34304398426385035
3.75,20 nodes,0.3894264328190339
4.5,20 nodes,0.45851439886132805
5.25,20 nodes,0.3435149661323894
6.0,20 nodes,0.37073579558428843
0.0,24 nodes,0.0
0.75,24 nodes,0.12867390460399944
1.5,24 nodes,0.45114697298587847
2.25,24 nodes,0.15509070461816563
3.0,24 nodes,0.3825426853091181
3.75,24 nodes,0.29921134502355096
4.5,24 nodes,0.334554112269979
5.25,24 nodes,0.3577337625499972
6.0,24 nodes,0.5378172973523424
0.0,28 nodes,0.0
0.75,28 nodes,0.0
1.5,28 nodes,0.12746035736915856
2.25,28 nodes,0.16693196169740862
3.0,28 nodes,0.12513626604987482
3.75,28 nodes,0.276002780025763
4.5,28 nodes,0.19419548471598286
5.25,28 nodes,0.3866881397777819
6.0,28 nodes,0.4577308794749158
0.0,32 nodes,0.0
0.75,32 nodes,0.0
1.5,32 nodes,0.018257418583505537
2.25,32 nodes,0.12453829015850043
3.0,32 nodes,0.05873046188277095
3.75,32 nodes,0.23187979341039336
4.5,32 nodes,0.2654082877967909
5.25,32 nodes,0.3278958441478253
6.0,32 nodes,0.30771452747565436
