Weight Range of Noise within 1σ,Iso-Size,Recall value
0.0,20 nodes,0.8125
0.75,20 nodes,0.4575
1.5,20 nodes,0.6225
2.25,20 nodes,0.555
3.0,20 nodes,0.43374999999999997
3.75,20 nodes,0.495
4.5,20 nodes,0.5075
5.25,20 nodes,0.40875
6.0,20 nodes,0.4325
0.0,24 nodes,0.8875
0.75,24 nodes,0.425
1.5,24 nodes,0.50625
2.25,24 nodes,0.38125
3.0,24 nodes,0.44375
3.75,24 nodes,0.4197916666666667
4.5,24 nodes,0.39479166666666665
5.25,24 nodes,0.4010416666666667
6.0,24 nodes,0.39479166666666665
0.0,28 nodes,0.8875
0.75,28 nodes,0.35714285714285715
1.5,28 nodes,0.3839285714285714
2.25,28 nodes,0.3410714285714286
3.0,28 nodes,0.3580357142857143
3.75,28 nodes,0.42678571428571427
4.5,28 nodes,0.3455357142857143
5.25,28 nodes,0.44375000000000003
6.0,28 nodes,0.39017857142857143
0.0,32 nodes,0.928125
0.75,32 nodes,0.3640625
1.5,32 nodes,0.33359375
2.25,32 nodes,0.428125
3.0,32 nodes,0.37265625
3.75,32 nodes,0.409375
4.5,32 nodes,0.38828125
5.25,32 nodes,0.459375
6.0,32 nodes,0.35859375
