Weight Range of Noise within 1σ,Iso-Size,Precision value
0.0,20 nodes,1.0
0.75,20 nodes,1.0
1.5,20 nodes,0.6785
2.25,20 nodes,0.366
3.0,20 nodes,0.267
3.75,20 nodes,0.34299999999999997
4.5,20 nodes,0.302
5.25,20 nodes,0.26749999999999996
6.0,20 nodes,0.351
0.0,24 nodes,1.0
0.75,24 nodes,1.0
1.5,24 nodes,1.0
2.25,24 nodes,0.4645
3.0,24 nodes,0.5585
3.75,24 nodes,0.484
4.5,24 nodes,0.447
5.25,24 nodes,0.484
6.0,24 nodes,0.379
0.0,28 nodes,1.0
0.75,28 nodes,1.0
1.5,28 nodes,0.5640000000000001
2.25,28 nodes,0.6639999999999999
3.0,28 nodes,0.5834999999999999
3.75,28 nodes,0.506
4.5,28 nodes,0.63
5.25,28 nodes,0.519
6.0,28 nodes,0.5835
0.0,32 nodes,0.7165
0.75,32 nodes,0.732
1.5,32 nodes,0.708
2.25,32 nodes,0.7264999999999999
3.0,32 nodes,0.6945
3.75,32 nodes,0.7535000000000001
4.5,32 nodes,0.6375
5.25,32 nodes,0.728
6.0,32 nodes,0.685
