Weight Range of Noise within 1σ,Iso-Size,G1 Edge Sums, G2 Edge Sums, Abs Diff
0.0,20 nodes,13751.14524187957,14520.80682231184,769.661580432271
0.75,20 nodes,16492.150559174504,14633.8160418774,1858.334517297103
1.5,20 nodes,12911.98433872114,13567.2776305008,655.2932917796588
2.25,20 nodes,33437.7869648873,34561.70020425407,1527.2432933477612
3.0,20 nodes,44989.01931795784,49125.89589654528,4136.876578587431
3.75,20 nodes,43508.53022569164,44580.88474976694,1658.88847103437
4.5,20 nodes,43212.21060375077,45752.317514964896,2540.1069112141267
5.25,20 nodes,45163.66222212427,44810.589120228295,600.117632066147
6.0,20 nodes,50039.09235221737,52684.5317256717,2645.4393734543373
0.0,24 nodes,21570.623795142637,21507.49221307672,819.8715739548406
0.75,24 nodes,18324.35734713186,20283.125138186446,1958.7677910545863
1.5,24 nodes,19133.126872223904,19879.193109157994,1467.1861778692783
2.25,24 nodes,29947.685680025526,28546.35470793421,2824.0932257348904
3.0,24 nodes,34123.49610034209,30923.61682673108,3199.8792736110063
3.75,24 nodes,42574.85730468604,44034.423706697824,1459.5664020117802
4.5,24 nodes,32694.771371207877,35522.039764742396,2827.2683935345176
5.25,24 nodes,40255.03622239589,42270.88844544989,2015.8522230540075
6.0,24 nodes,30448.767832454763,32347.29985432538,3062.6719860489247
0.0,28 nodes,25856.98836368832,26111.098730668604,345.72069225736414
0.75,28 nodes,25701.60533303053,23572.500316362457,2129.1050166680725
1.5,28 nodes,38778.68167625237,35863.36183691039,2915.319839341977
2.25,28 nodes,40379.945632881674,41192.07962736807,812.1339944863939
3.0,28 nodes,36139.611125310315,36435.60375029149,2005.5832648614269
3.75,28 nodes,37005.31748521575,35507.025551482715,2158.836291234551
4.5,28 nodes,39237.65786438584,37942.89288998438,1294.7649744014525
5.25,28 nodes,44152.63447659515,46669.11595335729,2516.481476762143
6.0,28 nodes,42122.80673255111,43062.209056406464,1598.2714284646827
0.0,32 nodes,35380.21602762875,37148.52842598456,2978.43042817045
0.75,32 nodes,37639.57852154117,37485.82337253852,153.75514900264716
1.5,32 nodes,45104.51776746548,47084.61815006722,2516.995657421481
2.25,32 nodes,41807.99611477653,39557.96038628402,2250.035728492501
3.0,32 nodes,43824.28838365534,42202.24368688815,3307.4272765062124
3.75,32 nodes,43214.62454844943,43045.02734499932,2622.7726484957457
4.5,32 nodes,42879.74393301569,41137.616507823346,1742.127425192346
5.25,32 nodes,43217.00634762627,42591.90668752691,1214.4599103670844
6.0,32 nodes,43218.27472318946,44670.21193977778,1451.9372165883142
