Weight Range of Noise within 1σ,Iso-Size,F1 value
0.0,20 nodes,0.9743589743589743
0.75,20 nodes,0.9743589743589743
1.5,20 nodes,0.9473684210526316
2.25,20 nodes,0.4978824399774302
3.0,20 nodes,0.24732383458765103
3.75,20 nodes,0.2808975060114413
4.5,20 nodes,0.30474202180885335
5.25,20 nodes,0.29280265171260356
6.0,20 nodes,0.19184348582216945
0.0,24 nodes,0.9787234042553191
0.75,24 nodes,0.967622571692877
1.5,24 nodes,0.967622571692877
2.25,24 nodes,0.7592777761906122
3.0,24 nodes,0.805403577485262
3.75,24 nodes,0.40082320538533095
4.5,24 nodes,0.6439479048613825
5.25,24 nodes,0.5754039353703407
6.0,24 nodes,0.7720929986118028
0.0,28 nodes,0.9818181818181818
0.75,28 nodes,0.9723905723905724
1.5,28 nodes,0.8199735026319535
2.25,28 nodes,0.8041952570121584
3.0,28 nodes,0.8362867311716415
3.75,28 nodes,0.8207426634941235
4.5,28 nodes,0.794989174497881
5.25,28 nodes,0.6807755145651815
6.0,28 nodes,0.7467679920855221
0.0,32 nodes,0.9661635798598046
0.75,32 nodes,0.945987033310977
1.5,32 nodes,0.8261817143376364
2.25,32 nodes,0.9107562607667716
3.0,32 nodes,0.8376067295365541
3.75,32 nodes,0.8898664982468367
4.5,32 nodes,0.8763025759227161
5.25,32 nodes,0.8658746162122585
6.0,32 nodes,0.8867857201966203
