Weight Range of Noise within 1σ,Iso-Size,Relative Frobenius value
0.0,20 nodes,1.0642276773714325
0.30000000000000004,20 nodes,1.0491605518498661
0.6000000000000001,20 nodes,1.06581107538036
0.9000000000000001,20 nodes,1.0654387278004767
1.2000000000000002,20 nodes,1.079553582843183
1.5,20 nodes,1.0835443991271871
1.7999999999999998,20 nodes,1.0732424750569565
2.0999999999999996,20 nodes,1.1118221683677765
2.4,20 nodes,1.1079484251869178
2.6999999999999997,20 nodes,1.0862314390903494
2.9999999999999996,20 nodes,1.1224519584602644
0.0,24 nodes,1.065219387509925
0.30000000000000004,24 nodes,1.0215202775765626
0.6000000000000001,24 nodes,1.046199289579186
0.9000000000000001,24 nodes,1.046394460508834
1.2000000000000002,24 nodes,1.0486944867807517
1.5,24 nodes,1.0321671460080433
1.7999999999999998,24 nodes,1.0315469339619119
2.0999999999999996,24 nodes,1.0576679357180268
2.4,24 nodes,1.0561806548806996
2.6999999999999997,24 nodes,1.074833194092505
2.9999999999999996,24 nodes,1.0516414660130973
0.0,28 nodes,1.0389427643860651
0.30000000000000004,28 nodes,1.0305770211686156
0.6000000000000001,28 nodes,1.0132014631632662
0.9000000000000001,28 nodes,1.01412657202713
1.2000000000000002,28 nodes,1.0323341470466167
1.5,28 nodes,1.0269424226626818
1.7999999999999998,28 nodes,1.0444998775202556
2.0999999999999996,28 nodes,1.0361720394294
2.4,28 nodes,1.042960550739434
2.6999999999999997,28 nodes,1.048601065557187
2.9999999999999996,28 nodes,1.0486213169000898
0.0,32 nodes,1.0155414805397467
0.30000000000000004,32 nodes,1.023329353345965
0.6000000000000001,32 nodes,1.022075905536585
0.9000000000000001,32 nodes,1.0116869592518436
1.2000000000000002,32 nodes,1.0146072321332684
1.5,32 nodes,1.0197993792526188
1.7999999999999998,32 nodes,1.0292254211059317
2.0999999999999996,32 nodes,1.0245476735624988
2.4,32 nodes,1.0338142283866736
2.6999999999999997,32 nodes,1.013629187046496
2.9999999999999996,32 nodes,1.0359969382154104
