Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.1,5,11.700(2.111),0.170(0.095),0.075(0.043),0.104(0.059),0.966(0.095),0.484(0.070),
0.325,5,10.600(3.062),0.180(0.079),0.096(0.063),0.120(0.057),0.927(0.196),0.532(0.139),
0.55,5,12.000(1.826),0.220(0.220),0.089(0.084),0.126(0.122),0.937(0.099),0.505(0.066),
0.775,5,9.900(3.143),0.390(0.370),0.266(0.352),0.306(0.357),0.758(0.411),0.634(0.207),
1.0,5,5.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,10,12.600(1.838),0.210(0.070),0.171(0.067),0.188(0.068),0.974(0.044),0.471(0.047),
0.325,10,10.300(2.669),0.215(0.175),0.240(0.280),0.221(0.209),0.848(0.318),0.575(0.161),
0.55,10,10.500(4.403),0.845(0.107),0.886(0.219),0.844(0.134),0.169(0.361),0.944(0.124),
0.775,10,9.800(0.422),0.980(0.042),1.000(0.000),0.989(0.022),0.000(0.000),1.000(0.000),
1.0,10,10.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,15,11.400(2.503),0.137(0.055),0.178(0.051),0.153(0.053),0.949(0.121),0.488(0.081),
0.325,15,10.500(3.749),0.500(0.266),0.759(0.343),0.583(0.282),0.314(0.452),0.853(0.228),
0.55,15,13.800(1.135),0.907(0.072),0.986(0.030),0.943(0.043),0.000(0.000),1.000(0.000),
0.775,15,15.100(0.316),1.000(0.000),0.994(0.020),0.997(0.010),0.000(0.000),1.000(0.000),
1.0,15,15.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,20,7.900(3.281),0.100(0.055),0.250(0.093),0.139(0.067),0.743(0.226),0.656(0.163),
0.325,20,13.800(3.360),0.680(0.172),0.984(0.035),0.794(0.127),0.000(0.000),1.000(0.000),
0.55,20,19.100(0.738),0.955(0.037),1.000(0.000),0.976(0.020),0.000(0.000),1.000(0.000),
0.775,20,19.900(0.316),0.995(0.016),1.000(0.000),0.997(0.008),0.000(0.000),1.000(0.000),
1.0,20,20.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,25,7.500(3.894),0.104(0.109),0.314(0.162),0.149(0.127),0.718(0.218),0.666(0.154),
0.325,25,19.200(5.116),0.768(0.205),1.000(0.000),0.854(0.141),0.000(0.000),1.000(0.000),
0.55,25,24.600(0.966),0.984(0.039),1.000(0.000),0.992(0.021),0.000(0.000),1.000(0.000),
0.775,25,25.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
1.0,25,25.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,30,6.100(2.424),0.082(0.037),0.455(0.294),0.136(0.063),0.523(0.365),0.759(0.172),
0.325,30,26.100(4.280),0.863(0.138),0.993(0.014),0.917(0.088),0.000(0.000),1.000(0.000),
0.55,30,29.300(0.823),0.977(0.028),1.000(0.000),0.988(0.014),0.000(0.000),1.000(0.000),
0.775,30,30.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
1.0,30,30.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,35,5.900(3.213),0.144(0.103),0.813(0.270),0.237(0.143),0.203(0.330),0.930(0.127),
0.325,35,32.300(1.636),0.923(0.047),1.000(0.000),0.959(0.025),0.000(0.000),1.000(0.000),
0.55,35,34.800(0.422),0.994(0.012),1.000(0.000),0.997(0.006),0.000(0.000),1.000(0.000),
0.775,35,35.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
1.0,35,35.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,40,11.800(6.106),0.290(0.142),0.992(0.026),0.431(0.162),0.058(0.183),0.993(0.023),
0.325,40,37.500(2.550),0.938(0.064),1.000(0.000),0.967(0.035),0.000(0.000),1.000(0.000),
0.55,40,39.600(0.516),0.990(0.013),1.000(0.000),0.995(0.007),0.000(0.000),1.000(0.000),
0.775,40,40.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
1.0,40,40.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,45,16.400(7.905),0.361(0.169),0.995(0.015),0.509(0.184),0.052(0.165),0.996(0.013),
0.325,45,43.500(1.716),0.967(0.038),1.000(0.000),0.983(0.020),0.000(0.000),1.000(0.000),
0.55,45,45.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.775,45,45.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
1.0,45,45.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.1,50,11.800(5.534),0.236(0.111),1.000(0.000),0.370(0.146),0.000(0.000),1.000(0.000),
0.325,50,49.100(0.876),0.982(0.018),1.000(0.000),0.991(0.009),0.000(0.000),1.000(0.000),
0.55,50,50.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
0.775,50,50.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
1.0,50,50.000(0.000),1.000(0.000),1.000(0.000),1.000(0.000),0.000(0.000),1.000(0.000),
