Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.1,5,2.000(0.000),0.060(0.084),0.150(0.211),0.086(0.121),0.000(0.000),1.000(0.000),
0.325,5,2.000(0.000),0.060(0.052),0.150(0.129),0.086(0.074),0.000(0.000),1.000(0.000),
0.55,5,2.000(0.000),0.040(0.052),0.100(0.129),0.057(0.074),0.000(0.000),1.000(0.000),
0.775,5,2.000(0.000),0.040(0.052),0.100(0.129),0.057(0.074),0.000(0.000),1.000(0.000),
1.0,5,2.000(0.000),0.020(0.042),0.050(0.105),0.029(0.060),0.000(0.000),1.000(0.000),
0.1,10,2.100(0.316),0.020(0.026),0.092(0.121),0.033(0.042),0.058(0.183),0.978(0.070),
0.325,10,2.000(0.000),0.020(0.035),0.100(0.175),0.033(0.058),0.000(0.000),1.000(0.000),
0.55,10,2.000(0.000),0.035(0.024),0.175(0.121),0.058(0.040),0.000(0.000),1.000(0.000),
0.775,10,2.000(0.000),0.030(0.042),0.150(0.211),0.050(0.070),0.000(0.000),1.000(0.000),
1.0,10,2.000(0.000),0.035(0.034),0.175(0.169),0.058(0.056),0.000(0.000),1.000(0.000),
0.1,15,2.000(0.000),0.027(0.021),0.200(0.158),0.047(0.037),0.000(0.000),1.000(0.000),
0.325,15,2.000(0.000),0.023(0.022),0.175(0.169),0.041(0.040),0.000(0.000),1.000(0.000),
0.55,15,2.000(0.000),0.023(0.028),0.175(0.206),0.041(0.048),0.000(0.000),1.000(0.000),
0.775,15,2.000(0.000),0.030(0.025),0.225(0.184),0.053(0.043),0.000(0.000),1.000(0.000),
1.0,15,9.300(6.290),0.570(0.469),0.668(0.437),0.593(0.474),0.031(0.098),0.991(0.028),
0.1,20,2.000(0.000),0.020(0.020),0.200(0.197),0.036(0.036),0.000(0.000),1.000(0.000),
0.325,20,4.200(6.957),0.058(0.113),0.231(0.186),0.070(0.101),0.113(0.356),0.952(0.152),
0.55,20,2.000(0.000),0.020(0.011),0.200(0.105),0.036(0.019),0.000(0.000),1.000(0.000),
0.775,20,12.200(8.791),0.573(0.472),0.693(0.399),0.595(0.474),0.049(0.155),0.983(0.054),
1.0,20,19.000(0.000),0.950(0.000),1.000(0.000),0.974(0.000),0.000(0.000),1.000(0.000),
0.1,25,3.800(4.367),0.042(0.043),0.284(0.188),0.067(0.057),0.244(0.402),0.871(0.212),
0.325,25,8.000(12.658),0.220(0.401),0.435(0.259),0.219(0.348),0.245(0.407),0.921(0.149),
0.55,25,19.500(9.241),0.764(0.387),0.869(0.268),0.787(0.386),0.043(0.135),0.990(0.031),
0.775,25,23.900(0.316),0.956(0.013),1.000(0.000),0.978(0.007),0.000(0.000),1.000(0.000),
1.0,25,24.000(0.000),0.960(0.000),1.000(0.000),0.980(0.000),0.000(0.000),1.000(0.000),
0.1,30,3.900(3.573),0.042(0.030),0.365(0.191),0.071(0.044),0.408(0.529),0.812(0.245),
0.325,30,14.100(15.602),0.388(0.466),0.578(0.310),0.392(0.441),0.255(0.334),0.933(0.092),
0.55,30,26.200(8.509),0.869(0.299),0.925(0.237),0.886(0.300),0.000(0.000),1.000(0.000),
0.775,30,29.000(0.000),0.967(0.000),1.000(0.000),0.983(0.000),0.000(0.000),1.000(0.000),
1.0,30,29.000(0.000),0.967(0.000),1.000(0.000),0.983(0.000),0.000(0.000),1.000(0.000),
0.1,35,2.900(1.912),0.032(0.013),0.413(0.119),0.058(0.021),0.274(0.443),0.887(0.185),
0.325,35,27.100(13.254),0.761(0.394),0.846(0.314),0.782(0.398),0.044(0.139),0.993(0.022),
0.55,35,34.100(0.738),0.968(0.009),0.994(0.018),0.981(0.009),0.041(0.129),0.991(0.029),
0.775,35,34.000(0.000),0.971(0.000),1.000(0.000),0.985(0.000),0.000(0.000),1.000(0.000),
1.0,35,34.000(0.000),0.971(0.000),1.000(0.000),0.985(0.000),0.000(0.000),1.000(0.000),
0.1,40,12.000(12.875),0.225(0.295),0.567(0.231),0.278(0.315),0.436(0.480),0.844(0.213),
0.325,40,31.000(15.297),0.766(0.401),0.825(0.374),0.784(0.407),0.000(0.000),1.000(0.000),
0.55,40,39.000(0.000),0.975(0.000),1.000(0.000),0.987(0.000),0.000(0.000),1.000(0.000),
0.775,40,39.000(0.000),0.975(0.000),1.000(0.000),0.987(0.000),0.000(0.000),1.000(0.000),
1.0,40,39.000(0.000),0.975(0.000),1.000(0.000),0.987(0.000),0.000(0.000),1.000(0.000),
0.1,45,24.100(14.655),0.520(0.340),0.827(0.268),0.605(0.380),0.135(0.218),0.982(0.039),
0.325,45,43.800(0.422),0.974(0.009),1.000(0.000),0.987(0.005),0.000(0.000),1.000(0.000),
0.55,45,44.000(0.000),0.978(0.000),1.000(0.000),0.989(0.000),0.000(0.000),1.000(0.000),
0.775,45,44.000(0.000),0.978(0.000),1.000(0.000),0.989(0.000),0.000(0.000),1.000(0.000),
1.0,45,44.000(0.000),0.978(0.000),1.000(0.000),0.989(0.000),0.000(0.000),1.000(0.000),
0.1,50,36.000(12.771),0.718(0.261),0.950(0.158),0.799(0.273),0.000(0.000),1.000(0.000),
0.325,50,48.900(0.316),0.978(0.006),1.000(0.000),0.989(0.003),0.000(0.000),1.000(0.000),
0.55,50,49.000(0.000),0.980(0.000),1.000(0.000),0.990(0.000),0.000(0.000),1.000(0.000),
0.775,50,49.000(0.000),0.980(0.000),1.000(0.000),0.990(0.000),0.000(0.000),1.000(0.000),
1.0,50,49.000(0.000),0.980(0.000),1.000(0.000),0.990(0.000),0.000(0.000),1.000(0.000),
