Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.6437751649736401,5,42.400(20.239),0.960(0.084),0.277(0.381),0.318(0.301),0.777(0.410),0.864(0.072),
0.46051701859880917,10,24.900(23.397),0.800(0.236),0.668(0.410),0.594(0.257),0.400(0.517),0.926(0.096),
0.36107336014696134,15,15.500(19.369),0.540(0.285),0.858(0.300),0.553(0.155),0.205(0.432),0.963(0.079),
0.2995732273553991,20,20.300(22.086),0.535(0.355),0.816(0.297),0.503(0.157),0.320(0.516),0.936(0.104),
0.257510065989456,25,25.600(22.858),0.588(0.369),0.780(0.260),0.537(0.155),0.444(0.574),0.915(0.110),
0.22674649211081035,30,12.200(14.093),0.333(0.241),0.958(0.134),0.441(0.128),0.111(0.350),0.977(0.073),
0.20316274637082363,35,22.500(20.641),0.497(0.360),0.902(0.158),0.541(0.221),0.359(0.577),0.928(0.115),
0.18444397270569682,40,6.000(1.700),0.150(0.042),1.000(0.000),0.259(0.063),0.000(0.000),1.000(0.000),
0.16918499954534755,45,17.500(18.620),0.358(0.350),0.973(0.057),0.441(0.285),0.251(0.530),0.950(0.107),
0.15648092021712584,50,18.100(18.526),0.354(0.354),0.992(0.016),0.445(0.310),0.260(0.548),0.950(0.106),
