Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.6437751649736401,5,2.000(0.000),0.030(0.048),0.075(0.121),0.043(0.069),0.000(0.000),1.000(0.000),
0.46051701859880917,10,2.000(0.000),0.030(0.026),0.150(0.129),0.050(0.043),0.000(0.000),1.000(0.000),
0.36107336014696134,15,2.000(0.000),0.033(0.027),0.250(0.204),0.059(0.048),0.000(0.000),1.000(0.000),
0.2995732273553991,20,2.000(0.000),0.028(0.018),0.275(0.184),0.050(0.034),0.000(0.000),1.000(0.000),
0.257510065989456,25,3.300(4.111),0.038(0.052),0.280(0.184),0.060(0.064),0.115(0.362),0.940(0.188),
0.22674649211081035,30,5.600(10.352),0.105(0.227),0.452(0.124),0.125(0.200),0.234(0.394),0.913(0.145),
0.20316274637082363,35,21.500(16.702),0.526(0.430),0.697(0.285),0.545(0.425),0.295(0.391),0.928(0.100),
0.18444397270569682,40,26.200(16.451),0.620(0.414),0.789(0.295),0.656(0.422),0.246(0.330),0.953(0.080),
0.16918499954534755,45,37.800(12.630),0.831(0.285),0.943(0.157),0.864(0.289),0.052(0.166),0.994(0.018),
0.15648092021712584,50,45.900(2.558),0.918(0.051),1.000(0.000),0.957(0.028),0.000(0.000),1.000(0.000),
