Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.0,5,11.900(2.685),0.190(0.110),0.081(0.045),0.112(0.063),0.940(0.100),0.512(0.073),
0.0,10,11.900(2.378),0.205(0.083),0.170(0.060),0.185(0.070),0.967(0.064),0.492(0.060),
0.0,15,10.800(3.120),0.120(0.061),0.163(0.053),0.135(0.056),0.965(0.090),0.516(0.076),
0.0,20,7.300(1.947),0.090(0.059),0.236(0.101),0.128(0.075),0.767(0.187),0.637(0.144),
0.0,25,6.900(2.283),0.068(0.037),0.244(0.091),0.105(0.052),0.760(0.240),0.646(0.165),
0.0,30,6.100(3.348),0.060(0.038),0.294(0.088),0.096(0.051),0.568(0.426),0.734(0.215),
0.0,35,14.900(19.666),0.237(0.403),0.355(0.180),0.224(0.309),0.680(0.436),0.763(0.214),
0.0,40,42.200(20.660),0.805(0.411),0.682(0.184),0.705(0.347),0.919(0.488),0.887(0.061),
0.0,45,52.000(0.000),1.000(0.000),0.865(0.000),0.928(0.000),1.228(0.040),0.880(0.015),
0.0,50,52.000(0.000),1.000(0.000),0.962(0.000),0.981(0.000),1.337(0.040),0.914(0.014),
