Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.0,5,2.000(0.000),0.060(0.052),0.150(0.129),0.086(0.074),0.000(0.000),1.000(0.000),
0.0,10,2.000(0.000),0.025(0.035),0.125(0.177),0.042(0.059),0.000(0.000),1.000(0.000),
0.0,15,2.600(1.897),0.047(0.028),0.294(0.161),0.078(0.042),0.094(0.297),0.953(0.148),
0.0,20,2.000(0.000),0.035(0.021),0.350(0.211),0.064(0.038),0.000(0.000),1.000(0.000),
0.0,25,3.900(6.008),0.058(0.086),0.386(0.125),0.084(0.087),0.118(0.373),0.953(0.148),
0.0,30,2.600(1.075),0.027(0.008),0.337(0.143),0.049(0.015),0.233(0.383),0.884(0.203),
0.0,35,3.600(2.914),0.045(0.035),0.437(0.091),0.078(0.052),0.370(0.488),0.834(0.231),
0.0,40,6.500(4.062),0.076(0.050),0.459(0.084),0.126(0.077),0.634(0.546),0.709(0.256),
0.0,45,6.000(3.830),0.072(0.052),0.514(0.100),0.122(0.079),0.678(0.489),0.738(0.199),
0.0,50,28.800(15.922),0.566(0.327),0.892(0.207),0.657(0.343),0.205(0.360),0.950(0.139),
