Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.0,5,52.000(0.000),1.000(0.000),0.096(0.000),0.175(0.000),0.973(0.006),0.829(0.002),
0.0,10,52.000(0.000),1.000(0.000),0.192(0.000),0.322(0.000),0.981(0.012),0.827(0.004),
0.0,15,52.000(0.000),1.000(0.000),0.288(0.000),0.447(0.000),1.013(0.024),0.824(0.007),
0.0,20,52.000(0.000),1.000(0.000),0.385(0.000),0.556(0.000),1.036(0.018),0.822(0.010),
0.0,25,52.000(0.000),1.000(0.000),0.481(0.000),0.650(0.000),1.047(0.025),0.819(0.015),
0.0,30,52.000(0.000),1.000(0.000),0.577(0.000),0.732(0.000),1.076(0.039),0.834(0.018),
0.0,35,52.000(0.000),1.000(0.000),0.673(0.000),0.805(0.000),1.157(0.047),0.841(0.017),
0.0,40,52.000(0.000),1.000(0.000),0.769(0.000),0.869(0.000),1.181(0.027),0.862(0.013),
0.0,45,52.000(0.000),1.000(0.000),0.865(0.000),0.928(0.000),1.232(0.053),0.873(0.013),
0.0,50,52.000(0.000),1.000(0.000),0.962(0.000),0.981(0.000),1.337(0.066),0.915(0.008),
