Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.0,5,2.000(0.000),0.010(0.032),0.025(0.079),0.014(0.045),0.000(0.000),1.000(0.000),
0.0,10,2.000(0.000),0.040(0.032),0.200(0.158),0.067(0.053),0.000(0.000),1.000(0.000),
0.0,15,2.000(0.000),0.026(0.014),0.200(0.105),0.046(0.024),0.000(0.000),1.000(0.000),
0.0,20,2.000(0.000),0.028(0.022),0.275(0.219),0.050(0.040),0.000(0.000),1.000(0.000),
0.0,25,4.500(6.223),0.056(0.065),0.379(0.143),0.084(0.062),0.309(0.426),0.879(0.169),
0.0,30,4.600(4.789),0.052(0.050),0.378(0.117),0.082(0.062),0.391(0.528),0.826(0.244),
0.0,35,6.700(6.219),0.083(0.078),0.439(0.096),0.127(0.101),0.539(0.580),0.763(0.253),
0.0,40,5.600(4.427),0.060(0.058),0.392(0.129),0.099(0.085),0.623(0.461),0.727(0.211),
0.0,45,3.600(1.647),0.037(0.024),0.462(0.136),0.067(0.041),0.493(0.463),0.792(0.224),
0.0,50,28.300(16.146),0.558(0.332),0.891(0.208),0.649(0.347),0.071(0.224),0.991(0.027),
