Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.0,5,52.000(0.000),1.000(0.000),0.096(0.000),0.175(0.000),0.972(0.004),0.830(0.002),
0.0,10,52.000(0.000),1.000(0.000),0.192(0.000),0.322(0.000),0.983(0.010),0.828(0.004),
0.0,15,52.000(0.000),1.000(0.000),0.288(0.000),0.447(0.000),1.003(0.019),0.825(0.007),
0.0,20,52.000(0.000),1.000(0.000),0.385(0.000),0.556(0.000),1.029(0.017),0.824(0.013),
0.0,25,52.000(0.000),1.000(0.000),0.481(0.000),0.650(0.000),1.048(0.032),0.833(0.009),
0.0,30,52.000(0.000),1.000(0.000),0.577(0.000),0.732(0.000),1.074(0.069),0.840(0.024),
0.0,35,52.000(0.000),1.000(0.000),0.673(0.000),0.805(0.000),1.171(0.066),0.841(0.019),
0.0,40,52.000(0.000),1.000(0.000),0.769(0.000),0.869(0.000),1.168(0.035),0.859(0.015),
0.0,45,52.000(0.000),1.000(0.000),0.865(0.000),0.928(0.000),1.216(0.054),0.882(0.018),
0.0,50,52.000(0.000),1.000(0.000),0.962(0.000),0.981(0.000),1.321(0.040),0.911(0.007),
