Edge P,Iso-Size,Approx Iso-Size,Recall,Precision,F1,Rel Frob,% Correct
0.0,5,2.000(0.000),0.030(0.048),0.075(0.121),0.043(0.069),0.000(0.000),1.000(0.000),
0.0,10,2.000(0.000),0.030(0.035),0.150(0.175),0.050(0.058),0.000(0.000),1.000(0.000),
0.0,15,2.100(0.316),0.040(0.026),0.283(0.185),0.070(0.046),0.100(0.316),0.956(0.141),
0.0,20,2.200(0.422),0.028(0.008),0.258(0.092),0.049(0.015),0.115(0.243),0.956(0.094),
0.0,25,3.800(5.692),0.054(0.088),0.338(0.205),0.078(0.095),0.107(0.339),0.946(0.171),
0.0,30,3.500(3.171),0.032(0.029),0.277(0.081),0.054(0.041),0.215(0.454),0.903(0.205),
0.0,35,6.000(6.110),0.067(0.072),0.384(0.125),0.103(0.093),0.465(0.510),0.805(0.218),
0.0,40,7.000(4.497),0.084(0.065),0.446(0.111),0.135(0.095),0.736(0.527),0.647(0.257),
0.0,45,7.900(3.247),0.100(0.047),0.558(0.078),0.166(0.072),0.889(0.362),0.645(0.169),
0.0,50,8.000(8.511),0.147(0.179),0.743(0.240),0.223(0.235),0.339(0.554),0.875(0.204),
